date,totalCases,activeCases,totalRecovery,totalDeath
1/22/20,0,0,0,0
1/23/20,0,0,0,0
1/24/20,0,0,0,0
1/25/20,0,0,0,0
1/26/20,0,0,0,0
1/27/20,0,0,0,0
1/28/20,0,0,0,0
1/29/20,0,0,0,0
1/30/20,0,0,0,0
1/31/20,0,0,0,0
2/1/20,0,0,0,0
2/2/20,0,0,0,0
2/3/20,0,0,0,0
2/4/20,0,0,0,0
2/5/20,0,0,0,0
2/6/20,0,0,0,0
2/7/20,0,0,0,0
2/8/20,0,0,0,0
2/9/20,0,0,0,0
2/10/20,0,0,0,0
2/11/20,0,0,0,0
2/12/20,0,0,0,0
2/13/20,0,0,0,0
2/14/20,0,0,0,0
2/15/20,0,0,0,0
2/16/20,0,0,0,0
2/17/20,0,0,0,0
2/18/20,0,0,0,0
2/19/20,0,0,0,0
2/20/20,0,0,0,0
2/21/20,1,1,0,0
2/22/20,1,1,0,0
2/23/20,2,2,0,0
2/24/20,2,2,0,0
2/25/20,2,2,0,0
2/26/20,2,2,0,0
2/27/20,3,3,0,0
2/28/20,7,7,0,0
2/29/20,6,6,0,0
3/1/20,7,7,0,0
3/2/20,12,12,0,0
3/3/20,15,15,0,0
3/4/20,15,15,0,0
3/5/20,17,17,0,0
3/6/20,21,21,0,0
3/7/20,25,25,0,0
3/8/20,39,39,0,0
3/9/20,50,50,0,0
3/10/20,88,88,0,0
3/11/20,97,97,0,0
3/12/20,109,109,0,0
3/13/20,143,142,1,0
3/14/20,193,192,1,0
3/15/20,177,176,1,0
3/16/20,298,297,1,0
3/17/20,337,334,3,0
3/18/20,433,427,6,0
3/19/20,677,666,11,0
3/20/20,705,691,13,1
3/21/20,883,868,14,1
3/22/20,1071,1051,19,1
3/23/20,1442,1419,22,1
3/24/20,1930,1895,31,4
3/25/20,2468,2426,37,5
3/26/20,2988,2929,49,10
3/27/20,3421,3340,69,12
3/28/20,3901,3804,84,13
3/29/20,4433,4312,105,16
3/30/20,4979,4815,147,17
