date, home, hotel, hospital
Mon Mar 02 2020,0,0,10
Tue Mar 03 2020,0,0,10
Wed Mar 04 2020,0,0,12
Thu Mar 05 2020,0,0,13
Fri Mar 06 2020,0,0,16
Sat Mar 07 2020,0,0,21
Sun Mar 08 2020,0,0,27
Mon Mar 09 2020,0,0,41
Tue Mar 10 2020,0,0,61
Wed Mar 11 2020,0,0,84
Thu Mar 12 2020,0,0,107
Fri Mar 13 2020,0,0,127
Sat Mar 14 2020,0,0,167
Sun Mar 15 2020,0,0,206
Mon Mar 16 2020,0,0,226
Tue Mar 17 2020,0,0,261
Wed Mar 18 2020,0,0,313
Thu Mar 19 2020,126,0,302
Fri Mar 20 2020,306,0,294
Sat Mar 21 2020,489,0,285
Sun Mar 22 2020,706,0,334
Mon Mar 23 2020,1036,0,364
Tue Mar 24 2020,1428,0,408
Wed Mar 25 2020,1789,0,428
Thu Mar 26 2020,2274,0,484
Fri Mar 27 2020,2636,0,532
Sat Mar 28 2020,3091,0,527
Sun Mar 29 2020,3571,0,556
Mon Mar 30 2020,4027,0,633
Tue Mar 31 2020,4655,0,683
Wed Apr 01 2020,4529,689,772
Thu Apr 02 2020,5108,720,815
Fri Apr 03 2020,5650,717,813
Sat Apr 04 2020,5988,718,788
Sun Apr 05 2020,6493,693,824
Mon Apr 06 2020,6750,796,807
Tue Apr 07 2020,7009,819,748
Wed Apr 08 2020,7212,859,692
Thu Apr 09 2020,7322,944,667
Fri Apr 10 2020,7506,1002,672
Sat Apr 11 2020,7654,1061,625
Sun Apr 12 2020,7876,1074,668
Mon Apr 13 2020,7883,1181,694
Tue Apr 14 2020,7904,1229,682
Wed Apr 15 2020,7863,1238,689
Thu Apr 16 2020,7700,1366,700
Fri Apr 17 2020,7660,1348,665
Sat Apr 18 2020,7370,1661,635
Sun Apr 19 2020,7226,1707,622
Mon Apr 20 2020,7062,1723,598
Tue Apr 21 2020,6963,1738,548
Wed Apr 22 2020,6791,1739,523
Thu Apr 23 2020,6886,1605,494
Fri Apr 24 2020,6632,1751,466
Sat Apr 25 2020,6403,1762,439
Sun Apr 26 2020,6081,1737,435
Mon Apr 27 2020,5711,1775,411
Tue Apr 28 2020,5349,1726,389
Wed Apr 29 2020,5057,1726,381
Thu Apr 30 2020,4768,1721,375
Fri May 01 2020,4443,1746,343
Sat May 02 2020,4323,1610,335
Sun May 03 2020,4072,1591,324
Mon May 04 2020,3922,1545,306
Tue May 05 2020,3695,1488,269
Wed May 06 2020,3546,1439,265
Thu May 07 2020,3385,1423,253
Fri May 08 2020,3241,1365,241
Sat May 09 2020,3316,1204,245
Sun May 10 2020,3182,1202,243
Mon May 11 2020,2884,1208,227
Tue May 12 2020,2799,1054,218
Wed May 13 2020,2737,968,201
Thu May 14 2020,2574,917,196
Fri May 15 2020,2527,814,187
Sat May 16 2020,2461,780,181
Sun May 17 2020,2347,756,184
Mon May 18 2020,2130,725,170
Tue May 19 2020,2112,603,164
Wed May 20 2020,2051,570,157
Thu May 21 2020,1993,514,149
Fri May 22 2020,1908,455,141
Sat May 23 2020,1919,400,141
Sun May 24 2020,1834,390,139
Mon May 25 2020,1765,345,130
Tue May 26 2020,1785,283,122
Wed May 27 2020,1767,276,120
Thu May 28 2020,1727,273,120
Fri May 29 2020,1828,241,117
Sat May 30 2020,1811,241,123
Sun May 31 2020,1836,245,126
Mon Jun 01 2020,1887,224,126
Tue Jun 02 2020,1969,202,119
Wed Jun 03 2020,2011,225,118
Thu Jun 04 2020,2110,227,125
Fri Jun 05 2020,2200,228,119
Sat Jun 06 2020,2236,239,114
Sun Jun 07 2020,2315,247,122
Mon Jun 08 2020,2436,262,133
Tue Jun 09 2020,2567,259,129
Wed Jun 10 2020,2721,283,138
Thu Jun 11 2020,2815,321,133
Fri Jun 12 2020,2925,338,136
Sat Jun 13 2020,3004,359,133
Sun Jun 14 2020,3083,360,143
Mon Jun 15 2020,3156,393,155
Tue Jun 16 2020,3391,401,153
Wed Jun 17 2020,3572,428,158
Thu Jun 18 2020,3765,471,186
Fri Jun 19 2020,3976,491,190
Sat Jun 20 2020,4050,508,214
Sun Jun 21 2020,4155,520,247
Mon Jun 22 2020,4435,537,233
Tue Jun 23 2020,4781,561,217
Wed Jun 24 2020,5141,606,222
Thu Jun 25 2020,5549,633,217
Fri Jun 26 2020,5813,673,237
Sat Jun 27 2020,6134,691,240
Sun Jun 28 2020,6370,689,268
Mon Jun 29 2020,6923,713,273
Tue Jun 30 2020,7523,751,292
Wed Jul 01 2020,8343,771,329
Thu Jul 02 2020,9303,793,341
Fri Jul 03 2020,10028,879,356
Sat Jul 04 2020,10653,962,366
