date, mild, medium, severePatients, respiratoryPatients
Mon Mar 02 2020,10,0,0,0
Tue Mar 03 2020,10,0,0,0
Wed Mar 04 2020,12,0,0,0
Thu Mar 05 2020,12,0,1,0
Fri Mar 06 2020,14,0,2,1
Sat Mar 07 2020,18,0,3,2
Sun Mar 08 2020,22,0,5,4
Mon Mar 09 2020,36,0,5,4
Tue Mar 10 2020,55,0,6,5
Wed Mar 11 2020,76,1,7,6
Thu Mar 12 2020,99,1,7,6
Fri Mar 13 2020,115,5,7,6
Sat Mar 14 2020,156,5,6,4
Sun Mar 15 2020,190,7,9,6
Mon Mar 16 2020,209,6,11,7
Tue Mar 17 2020,242,7,12,7
Wed Mar 18 2020,285,12,16,7
Thu Mar 19 2020,269,12,21,12
Fri Mar 20 2020,256,15,23,12
Sat Mar 21 2020,236,22,27,15
Sun Mar 22 2020,263,33,38,22
Mon Mar 23 2020,283,37,44,24
Tue Mar 24 2020,311,49,48,26
Wed Mar 25 2020,322,54,52,28
Thu Mar 26 2020,361,67,56,31
Fri Mar 27 2020,394,71,67,37
Sat Mar 28 2020,375,82,70,41
Sun Mar 29 2020,387,89,80,51
Mon Mar 30 2020,439,105,89,54
Tue Mar 31 2020,470,114,99,64
Wed Apr 01 2020,518,143,111,72
Thu Apr 02 2020,557,145,113,79
Fri Apr 03 2020,523,159,131,93
Sat Apr 04 2020,478,170,140,107
Sun Apr 05 2020,496,193,135,107
Mon Apr 06 2020,452,208,147,110
Tue Apr 07 2020,384,204,160,106
Wed Apr 08 2020,330,196,166,115
Thu Apr 09 2020,312,189,166,117
Fri Apr 10 2020,329,173,170,128
Sat Apr 11 2020,280,163,182,130
Sun Apr 12 2020,316,175,177,130
Mon Apr 13 2020,333,169,192,137
Tue Apr 14 2020,331,173,178,134
Wed Apr 15 2020,335,175,179,132
Thu Apr 16 2020,356,163,181,137
Fri Apr 17 2020,337,163,165,124
Sat Apr 18 2020,320,141,174,118
Sun Apr 19 2020,317,148,157,118
Mon Apr 20 2020,309,135,154,123
Tue Apr 21 2020,257,146,145,119
Wed Apr 22 2020,252,122,149,110
Thu Apr 23 2020,242,106,146,114
Fri Apr 24 2020,213,109,144,108
Sat Apr 25 2020,198,105,136,107
Sun Apr 26 2020,202,91,142,111
Mon Apr 27 2020,190,89,132,101
Tue Apr 28 2020,177,85,127,100
Wed Apr 29 2020,173,86,122,96
Thu Apr 30 2020,176,87,112,90
Fri May 01 2020,153,81,109,89
Sat May 02 2020,158,66,111,90
Sun May 03 2020,152,71,101,84
Mon May 04 2020,138,71,97,78
Tue May 05 2020,117,61,91,72
Wed May 06 2020,116,61,88,70
Thu May 07 2020,109,60,84,70
Fri May 08 2020,110,53,78,64
Sat May 09 2020,117,50,78,64
Sun May 10 2020,118,51,74,66
Mon May 11 2020,104,54,69,60
Tue May 12 2020,101,52,65,56
Wed May 13 2020,92,48,61,53
Thu May 14 2020,92,43,61,52
Fri May 15 2020,83,43,61,52
Sat May 16 2020,81,40,60,51
Sun May 17 2020,91,38,55,45
Mon May 18 2020,76,42,52,43
Tue May 19 2020,70,43,51,40
Wed May 20 2020,71,40,46,41
Thu May 21 2020,71,31,47,37
Fri May 22 2020,63,32,46,37
Sat May 23 2020,62,33,46,37
Sun May 24 2020,60,36,43,34
Mon May 25 2020,57,32,41,29
Tue May 26 2020,49,37,36,32
Wed May 27 2020,43,37,40,36
Thu May 28 2020,47,37,36,34
Fri May 29 2020,42,36,39,37
Sat May 30 2020,45,43,35,33
Sun May 31 2020,44,47,35,31
Mon Jun 01 2020,49,45,32,29
Tue Jun 02 2020,46,44,29,29
Wed Jun 03 2020,48,42,28,25
Thu Jun 04 2020,58,37,30,23
Fri Jun 05 2020,49,41,29,23
Sat Jun 06 2020,43,42,29,21
Sun Jun 07 2020,51,42,29,23
Mon Jun 08 2020,57,46,30,23
Tue Jun 09 2020,56,42,31,24
Wed Jun 10 2020,61,45,32,24
Thu Jun 11 2020,60,38,35,24
Fri Jun 12 2020,58,43,35,25
Sat Jun 13 2020,53,45,35,26
Sun Jun 14 2020,64,48,31,23
Mon Jun 15 2020,72,47,36,25
Tue Jun 16 2020,72,43,38,26
Wed Jun 17 2020,73,49,36,29
Thu Jun 18 2020,103,43,40,28
Fri Jun 19 2020,104,47,39,29
Sat Jun 20 2020,123,50,41,28
Sun Jun 21 2020,143,59,45,29
Mon Jun 22 2020,134,56,43,29
Tue Jun 23 2020,125,52,40,26
Wed Jun 24 2020,132,45,45,27
Thu Jun 25 2020,117,56,44,28
Fri Jun 26 2020,135,57,45,26
Sat Jun 27 2020,144,56,40,22
Sun Jun 28 2020,162,67,39,22
Mon Jun 29 2020,161,68,44,24
Tue Jun 30 2020,168,68,56,24
Wed Jul 01 2020,197,73,59,24
Thu Jul 02 2020,197,72,72,28
Fri Jul 03 2020,198,75,83,29
Sat Jul 04 2020,197,84,85,33
Sun Jul 05 2020,248,82,94,32
Mon Jul 06 2020,259,97,90,34
Tue Jul 07 2020,277,95,93,35
Wed Jul 08 2020,290,89,113,38
Thu Jul 09 2020,323,100,126,41
Fri Jul 10 2020,324,105,130,41
Sat Jul 11 2020,308,120,136,46
Sun Jul 12 2020,363,125,151,47
Mon Jul 13 2020,349,121,184,53
Tue Jul 14 2020,310,140,190,55
Wed Jul 15 2020,348,121,209,58
Thu Jul 16 2020,347,133,209,59
Fri Jul 17 2020,333,150,219,58
Sat Jul 18 2020,324,150,236,57
Sun Jul 19 2020,409,144,271,74
Mon Jul 20 2020,407,148,265,79
Tue Jul 21 2020,408,142,257,81
Wed Jul 22 2020,379,138,285,80
Thu Jul 23 2020,356,152,310,84
Fri Jul 24 2020,331,152,330,87
Sat Jul 25 2020,316,178,322,99
Sun Jul 26 2020,382,197,312,100
Mon Jul 27 2020,417,182,317,95
Tue Jul 28 2020,393,185,323,95
Wed Jul 29 2020,383,173,336,97
Thu Jul 30 2020,371,172,319,102
Fri Jul 31 2020,371,171,318,94
Sat Aug 01 2020,365,165,338,94
Sun Aug 02 2020,424,171,350,100
Mon Aug 03 2020,444,147,329,94
Tue Aug 04 2020,379,164,342,98
Wed Aug 05 2020,379,164,355,105
Thu Aug 06 2020,372,152,357,97
Fri Aug 07 2020,356,159,367,104
Sat Aug 08 2020,332,177,388,101
Sun Aug 09 2020,413,199,387,110
Mon Aug 10 2020,360,183,391,109
Tue Aug 11 2020,335,191,373,110
Wed Aug 12 2020,332,171,371,107
Thu Aug 13 2020,337,177,372,108
Fri Aug 14 2020,337,179,369,103
Sat Aug 15 2020,353,180,383,110
Sun Aug 16 2020,413,196,374,107
Mon Aug 17 2020,369,182,392,109
Tue Aug 18 2020,367,185,398,112
Wed Aug 19 2020,358,177,383,112
Thu Aug 20 2020,348,177,394,111
Fri Aug 21 2020,344,171,400,111
Sat Aug 22 2020,347,179,403,113
Sun Aug 23 2020,392,210,406,113
Mon Aug 24 2020,392,201,425,117
Tue Aug 25 2020,372,180,427,116
Wed Aug 26 2020,399,190,418,116
Thu Aug 27 2020,391,193,423,115
Fri Aug 28 2020,343,202,415,110
Sat Aug 29 2020,321,196,439,115
Sun Aug 30 2020,399,214,452,124
Mon Aug 31 2020,425,208,433,118
Tue Sep 01 2020,395,199,415,115
Wed Sep 02 2020,403,171,414,119
Thu Sep 03 2020,417,157,402,113
Fri Sep 04 2020,410,145,417,117
Sat Sep 05 2020,400,148,440,124
Sun Sep 06 2020,466,184,453,129
Mon Sep 07 2020,446,182,457,131
Tue Sep 08 2020,472,185,461,140
Wed Sep 09 2020,459,188,485,136
Thu Sep 10 2020,466,202,490,136
